#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
1,1391.55,100,2010ApJ...722..605H,B,BD+56 472,*,02 16 53.0328642960 +56 52 15.329679492,9.49,10.03,9.1828,~,8.7606,B,17,0
2,965.70,100,2006ApJ...648..580H,S,BD+56 476,*,02 17 00.2382493536 +57 05 58.652526696,~,10.42,10.26,~,~,~,10,0
3,965.70,100,2012AJ....144..158M,B,BD+56 476,*,02 17 00.2382493536 +57 05 58.652526696,~,10.42,10.26,~,~,~,10,0
4,1099.67,100,2006ApJ...648..580H,S,BD+56 477,bC*,02 17 04.4992085976 +56 58 07.193831628,~,10.21,9.3310,~,8.9269,B,19,0
5,1099.67,100,2012AJ....144..158M,B,BD+56 477,bC*,02 17 04.4992085976 +56 58 07.193831628,~,10.21,9.3310,~,8.9269,B,19,0
6,1191.30,100,2010ApJ...722..605H,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
7,1191.30,100,2010ApJS..186..191C,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
8,1191.30,100,2012AJ....144..158M,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
9,1032.83,100,2012AJ....144..158M,B,BD+56 484,Be*,02 17 44.6582386752 +56 54 00.011357028,9.24,9.88,9.6420,~,8.1537,B1.0III,70,0
10,1069.97,100,2006ApJ...648..580H,S,BD+56 493,Be*,02 18 18.3546298920 +56 51 02.232343764,9.15,9.95,8.7847,~,8.4218,B1IV/Ve,62,0
11,1069.97,100,2012AJ....144..158M,B,BD+56 493,Be*,02 18 18.3546298920 +56 51 02.232343764,9.15,9.95,8.7847,~,8.4218,B1IV/Ve,62,0
12,939.02,100,2006ApJ...648..580H,S,BD+56 494,*,02 18 20.6945605176 +56 53 13.733964060,~,10.15,9.6223,~,9.1579,OB-,19,0
13,939.02,100,2012AJ....144..158M,B,BD+56 494,*,02 18 20.6945605176 +56 53 13.733964060,~,10.15,9.6223,~,9.1579,OB-,19,0
14,962.12,100,2006ApJ...648..580H,S,BD+56 503,*,02 18 34.9871903832 +56 52 18.567393816,~,10.46,10.0710,~,9.6771,A:,12,0
15,962.12,100,2012AJ....144..158M,B,BD+56 503,*,02 18 34.9871903832 +56 52 18.567393816,~,10.46,10.0710,~,9.6771,A:,12,0
16,1037.20,100,2006ApJ...648..580H,S,NGC 869 133,*,02 17 13.5430910808 +56 58 09.281830224,~,11.89,11.6165,~,11.3129,~,9,0
17,1037.20,100,2012AJ....144..158M,B,NGC 869 133,*,02 17 13.5430910808 +56 58 09.281830224,~,11.89,11.6165,~,11.3129,~,9,0
18,776.26,70,2020A&A...633A..99C,B,NGC 869 195,*,02 17 26.5108389840 +57 04 21.105312744,~,13.938,13.5631,~,13.1768,~,6,0
19,776.26,70,2020A&A...640A...1C,B,NGC 869 195,*,02 17 26.5108389840 +57 04 21.105312744,~,13.938,13.5631,~,13.1768,~,6,0
20,768.46,80,2020A&A...633A..99C,B,NGC 869 203,*,02 17 27.6978946824 +57 04 16.135387068,~,13.628,13.2584,~,12.8704,~,6,0
21,768.46,80,2020A&A...640A...1C,B,NGC 869 203,*,02 17 27.6978946824 +57 04 16.135387068,~,13.628,13.2584,~,12.8704,~,6,0
22,847.17,100,2010ApJS..186..191C,B,NGC 869 204,*,02 17 27.7586208648 +57 01 00.139580508,~,14.578,14.051,~,13.5370,A2.3V,4,0
23,785.61,70,2020A&A...633A..99C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
24,785.61,70,2020A&A...640A...1C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
25,785.61,100,2010ApJS..186..191C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
26,789.71,70,2020A&A...633A..99C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
27,789.71,70,2020A&A...640A...1C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
28,789.71,100,2010ApJS..186..191C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
29,794.11,80,2020A&A...633A..99C,B,NGC 869 242,*,02 17 33.0923631072 +57 01 30.843233112,~,12.695,12.406,~,~,~,5,0
